instance,avgDistance,maxDistance,symmetry_index,distanceMedian,depotTask-x,depotTask-y,N_Tasks,convex_hull_points,convex_hull_length,points_inside_hull,convex_hull_area,average_timespan,std_deviation_timespan,highest_last_time,highest_early_time,lowest_early_time,Q1_early_time,Q2_early_time,Q3_early_time,Q1_late_time,Q2_late_time,Q3_late_time,avgDemand,minDemand,maxDemand,totalDemand,capacity,avgService,timeByNumOfRequests,n_clusters
LRC2_2_8.txt,33.505199195820936,86.46964785403026,0,32.55764119219941,70,70,203,13,521.3339049076442,185,18424.0,484.34158415841586,181.9894109460777,2513,2053,200,108.0,331.0,947.25,631.0,834.5,1347.0,18.742574257425744,1,40,1893,1000,9.801980198019802,25.099009900990097,8
poa-n800-1.txt,23.016229712858927,60,519,20.0,-51.1713686,-30.1042104,801,13,0.7632545658372549,0,0.03824809656322925,69.27,42.386254847532825,240,193,52,45.0,91.0,129.0,115.0,160.0,199.0,97.4875,10,180,38995,300,5.0,0.6,12
LC2_8_6.txt,31.60820097979071,177.12425017484196,0,25.039936203984453,200,200,813,15,1269.6617998824488,712,117240.5,493.9963054187192,85.88557077378158,3661,3243,417,622.75,1483.0,2290.5,1147.75,1971.0,2764.0,19.236453201970445,10,50,7810,700,87.33990147783251,9.386699507389162,12
poa-n2500-5.txt,16.126349460215913,52,1986,14.0,-51.1613529,-30.0468975,2501,14,0.7737733807217643,0,0.04026662110131474,99.038,123.03707309587627,480,441,33,67.0,185.0,299.0,173.0,284.0,405.0,35.072,10,60,43840,100,5.0,0.384,2
LC2_10_1.txt,22.08214333108001,70.60453243241541,0,20.518284528683193,250,250,1015,14,1620.122942915847,706,187351.0,160.0,0.0,3652,3492,167,847.0,1683.0,2486.0,1007.0,1843.0,2646.0,19.30966469428008,10,50,9790,700,87.51479289940828,7.719921104536489,20
LR2_10_9.txt,106.95859244845118,370.9043003255692,0,90.13590588434002,250,250,1009,20,1929.4467806330276,965,246052.5,375.0386904761905,170.3776427873599,7410,6973,253,1402.75,3000.0,4432.25,1808.75,3405.5,4803.25,18.38095238095238,1,46,9264,1000,9.841269841269842,15.271825396825397,1
LR2_6_2.txt,64.80846863230738,192.16659439142902,0,61.4246126344687,150,150,609,19,1150.0224300386249,578,87418.5,1264.952302631579,1983.7344316773679,4806,4603,98,2.25,1236.0,2515.25,1388.5,2618.5,4619.0,17.700657894736842,1,46,5381,1000,9.736842105263158,15.865131578947368,1
nyc-n1000-1.txt,10.575424575424575,46,554,10.0,-73.959663,40.716099,1001,11,1.074807447945049,0,0.0698305963944989,119.996,0.12642784503423288,240,120,127,16.0,37.0,65.0,136.0,157.0,185.0,1.426,1,6,713,6,2.0,0.48,1
ber-n1500-7.txt,29.680213191205862,74,605,30.0,13.4197938,52.4953365,1501,15,1.503427272287047,0,0.13701741601815598,138.75066666666666,85.57789726065693,480,402,75,70.0,171.5,265.0,214.0,313.0,408.5,92.81866666666667,10,180,69614,300,15.0,0.64,1
ber-n200-5.txt,30.65671641791045,59,105,30.0,13.4083299,52.5128428,201,13,1.363681771742804,0,0.11068291813179493,72.59,49.70947495196464,240,190,50,36.75,80.0,127.0,110.0,153.5,199.75,91.45,10,180,9145,300,10.0,2.4,1
LR1_8_10.txt,34.90894111043621,168.7601848778319,0,30.25703988237031,200,200,841,16,1536.7491506964802,804,157152.0,121.40119047619048,29.383178675203894,1653,1566,100,273.75,598.0,880.5,399.0,712.5,1007.5,18.10952380952381,1,50,7606,200,9.047619047619047,4.019047619047619,1
LRC2_10_2.txt,100.1942177366166,482.14728040299053,0,76.15773105863909,250,250,1011,19,1931.1188740161215,949,245093.5,1863.4356435643565,3015.974525904978,7266,6886,122,0.5,1012.0,1932.5,1134.0,2062.5,6946.25,17.71881188118812,1,44,8948,1000,9.801980198019802,14.423762376237624,8
LR1_8_8.txt,32.64825732526982,170.8156901458411,0,27.51363298439521,200,200,839,16,1536.7491506964802,804,157152.0,1148.4665871121717,648.740430571643,1673,1490,33,0.0,0.0,2.25,1409.0,1491.0,1546.0,18.43675417661098,1,50,7725,200,9.093078758949881,4.028639618138425,1
ber-n2000-5.txt,29.602198900549727,66,843,30.0,13.5022044,52.6190622,2001,15,1.5013412794760406,0,0.13335589090975014,142.1045,90.85609819791954,480,389,79,75.0,176.5,262.25,221.75,319.5,405.0,34.985,10,60,34985,100,15.0,0.48,1
poa-n5000-7.txt,21.59088182363527,58,3929,20.0,-51.1596582,-30.1014377,5001,17,0.8149134910335558,0,0.04426708016299652,144.2124,95.302313121141,480,404,64,61.0,171.0,268.0,215.0,322.0,418.0,95.1732,10,180,237933,300,10.0,0.192,1
bar-n800-3.txt,14.53183520599251,30,643,14.0,2.1697211,41.3979792,801,15,0.5640729826738867,0,0.02025630677654494,99.3475,123.36792226405534,480,441,45,59.0,170.5,307.25,163.75,288.0,411.0,33.9925,10,60,13597,100,5.0,1.2,2
LC1_2_1.txt,5.658248660407682,61.40032573203501,0,4.357388321059432,70,70,213,16,506.858134452576,153,16660.0,60.5,10.628148811990323,1198,1130,62,212.75,440.5,678.5,276.5,501.0,748.25,17.547169811320753,10,40,1860,200,79.81132075471699,12.745283018867925,18
lr103.txt,12.699557859983223,45.17742799230607,0,10.931007421789616,35,35,105,10,258.1769802298352,94,4460.0,102.89423076923077,93.06655169092198,213,200,28,0.0,9.0,95.0,105.0,185.0,197.0,14.25,2,36,741,200,9.23076923076923,4.423076923076923,1
LR1_10_6.txt,47.12066111635958,265.3073689138694,0,38.736166925309256,250,250,1049,20,1929.4467806330276,1003,246052.5,460.0868320610687,736.3899117947078,1884,1761,42,0.0,522.5,1011.5,559.5,1046.0,1628.25,18.248091603053435,1,46,9562,200,9.083969465648854,3.6736641221374047,1
poa-n1000-2.txt,19.546453546453545,53,762,20.0,-51.1584638,-30.1107851,1001,13,0.7764140508274573,0,0.04025706692317052,83.904,98.31657430972665,480,432,41,88.0,194.0,305.0,173.75,279.5,387.0,34.348,10,60,17174,100,10.0,0.96,18
poa-n2000-3.txt,5.8500749625187405,20,988,6.0,-51.1790561,-30.0937073,2001,15,0.6117320306666678,0,0.02444995396232441,126.9725,41.6179257502101,240,162,70,13.0,44.0,99.0,141.0,190.0,225.0,93.491,10,180,93491,300,10.0,0.24,4
ber-n5000-1.txt,32.093181363727254,73,1896,31.0,13.424368,52.5011668,5001,16,1.5172373471157137,0,0.13923176573610418,121.6694,34.93818689686115,240,172,72,16.0,55.0,89.0,150.0,183.0,211.0,34.91,10,60,87275,100,15.0,0.096,6
LC1_2_10.txt,11.912671347911017,49.76946855251722,0,6.854101966249685,70,70,209,16,506.858134452576,151,16660.0,481.875,86.80678007683323,1251,843,374,75.75,249.0,474.25,591.75,726.5,969.25,17.403846153846153,10,40,1810,200,83.07692307692308,12.990384615384615,18
poa-n5000-3.txt,20.56508698260348,64,4016,20.0,-51.1534463,-30.1066369,5001,17,0.8030513466541527,0,0.04339636558034443,141.5494,89.9799375396538,480,396,80,66.0,168.0,267.0,214.0,316.0,412.25,94.2564,10,180,235641,300,15.0,0.192,2
poa-n2000-2.txt,6.2388805597201396,27,837,6.0,-51.1855042,-30.1816463,2001,13,0.6023853998235641,0,0.023443000303733807,131.5445,44.566254271028875,240,156,78,10.0,40.0,83.25,143.0,184.0,212.0,35.094,10,60,35094,100,10.0,0.24,2
LC2_10_7.txt,32.31462017127787,217.88299612406655,0,24.08318915758459,250,250,1019,14,1620.122942915847,707,187351.0,629.9921414538311,289.8878008296898,3773,3398,291,640.75,1449.0,2272.75,1275.5,2062.0,2856.25,19.13555992141454,10,50,9740,700,86.8172888015717,7.6895874263261295,20
lr205.txt,25.16201195538278,75.29276193632427,0,21.400934559032695,35,35,103,10,258.1769802298352,92,4460.0,240.0,0.0,980,740,257,135.5,310.5,527.5,375.5,550.5,767.5,16.254901960784313,1,41,829,1000,9.607843137254902,19.607843137254903,1
bar-n2500-4.txt,14.038384646141543,78,2182,14.0,2.1821074,41.4013708,2501,14,0.6186510845340015,0,0.023757140433509905,138.3264,86.24242496034071,480,411,65,49.0,165.0,277.0,194.0,312.0,423.0,35.156,10,60,43945,100,5.0,0.384,1
bar-n1000-4.txt,5.346653346653347,13,974,5.0,2.2226675,41.44509,1001,11,0.4562879872453905,0,0.010959301412769743,161.321,120.28362298750399,480,406,79,19.0,148.5,277.5,210.75,338.0,454.0,95.036,10,180,47518,300,5.0,0.96,2
nyc-n600-1.txt,10.59900166389351,31,401,10.0,-73.927559,40.764336,601,10,0.8155026593247329,0,0.03786399892649994,30.0,0.0,240,210,32,37.0,85.5,140.0,67.0,115.5,170.0,1.38,1,6,414,6,2.0,0.8,1
LR2_8_8.txt,78.26807696200217,292.0616373302047,0,67.60177512462228,200,200,807,16,1536.7491506964802,772,157152.0,5004.147642679901,2746.4853424451685,6738,6184,260,0.0,0.0,0.0,6471.25,6556.0,6609.0,17.774193548387096,1,45,7163,1000,9.851116625310175,16.751861042183624,1
bar-n100-5.txt,14.05940594059406,25,67,14.0,2.1403998,41.401354,101,11,0.5582767365082091,0,0.019185630632915313,139.09,86.65899780172857,480,395,71,60.75,159.0,243.75,203.25,294.5,393.25,36.56,10,60,1828,100,15.0,9.6,1
LRC2_8_10.txt,72.5973877983502,263.69679558159214,0,62.48436279366077,200,200,809,17,1508.5333140327161,752,154638.0,600.0,0.0,6223,5623,605,436.25,774.0,2354.0,1036.25,1374.0,2954.0,18.48267326732673,2,50,7467,1000,9.801980198019802,15.566831683168317,18
poa-n200-3.txt,6.796019900497512,23,98,6.0,-51.1573819,-30.1193518,201,14,0.5245314123496669,0,0.018993360393849468,120.325,29.881254575402284,240,145,77,27.0,60.0,92.75,151.0,186.0,212.25,35.06,10,60,3506,100,15.0,2.4,4
LR2_10_8.txt,97.19664145368425,408.1788823542933,0,79.49457067686066,250,250,1009,20,1929.4467806330276,965,246052.5,5693.930555555556,3132.73710467426,7676,6738,258,0.0,0.0,0.0,7347.75,7456.0,7516.0,17.970238095238095,1,46,9057,1000,9.841269841269842,15.271825396825397,1
LR1_2_5.txt,25.176329449574595,79.63039620647382,0,21.526766551718993,70,70,213,14,518.7183201277799,192,18385.0,30.0,0.0,580,550,39,113.75,258.0,369.0,143.75,288.0,399.0,18.358490566037737,1,43,1946,200,8.867924528301886,5.981132075471698,1
LRC1_2_4.txt,20.196128613896356,61.85466837676846,0,15.278735537316466,70,70,213,13,521.3339049076442,194,18424.0,443.6698113207547,230.4750926541232,614,549,39,0.0,0.0,0.0,538.5,561.5,581.25,17.80188679245283,1,43,1887,200,8.867924528301886,5.981132075471698,8
nyc-n800-3.txt,10.047440699126092,46,499,9.0,-74.012634,40.703838,801,8,1.0057737913643998,0,0.05451757022150128,30.0,0.0,240,210,39,39.0,90.5,143.0,69.0,120.5,173.0,1.4275,1,6,571,6,2.0,0.6,1
LR2_8_10.txt,87.61487440392595,357.9413359756037,0,76.32168761236873,200,200,811,16,1536.7491506964802,776,157152.0,480.4395061728395,59.525443629277625,6716,6256,367,1114.5,2329.0,3494.0,1581.25,2797.0,3990.0,17.90864197530864,1,44,7253,1000,9.753086419753087,16.669135802469135,1
bar-n800-1.txt,11.465667915106117,26,549,11.0,2.1448159,41.3904855,801,12,0.5856102414962482,0,0.020555913554585102,84.45125,62.843059469105256,240,192,36,22.0,67.0,118.0,105.75,155.0,206.0,97.1125,10,180,38845,300,15.0,0.6,4
LC2_4_4.txt,26.578175169651015,101.39033484509261,0,22.80350850198276,100,100,407,13,634.6400180905226,307,29114.0,2697.847290640394,1460.579801308438,3594,3127,210,0.0,0.0,0.0,3473.5,3524.0,3549.75,18.7192118226601,10,40,3800,700,87.33990147783251,18.192118226600986,4
bar-n4000-3.txt,12.679830042489378,31,2860,12.0,2.1448871,41.3892868,4001,18,0.603456652636563,0,0.02228649040623497,111.432,138.7048408527979,480,441,38,58.75,185.0,306.0,181.0,304.0,428.0,34.593,10,60,69186,100,5.0,0.24,4
LRC1_8_2.txt,35.0698810296046,179.38784797192923,0,24.596747752497688,200,200,831,17,1508.5333140327161,773,154638.0,380.355421686747,600.7066081683398,1547,1477,35,0.0,199.0,489.25,229.25,529.0,1328.0,18.16867469879518,1,50,7540,200,9.27710843373494,3.7903614457831325,18
LR1_2_4.txt,22.096320320728353,72.24956747275377,0,18.35755975068582,70,70,211,14,518.7183201277799,189,18385.0,437.3095238095238,239.45512434684653,615,570,20,0.0,0.0,0.0,538.0,561.0,579.75,17.314285714285713,1,43,1818,200,9.047619047619047,6.038095238095238,1
bar-n1500-5.txt,13.83877415056629,29,1319,14.0,2.1256352,41.3946449,1501,17,0.601181852416429,0,0.023164188003545125,128.018,45.00258151113852,240,172,67,7.0,48.0,105.0,144.0,197.0,232.0,35.832,10,60,26874,100,5.0,0.32,1
LRC1_2_3.txt,19.163036268793803,65.19202405202648,0,16.1245154965971,70,70,211,13,521.3339049076442,192,18424.0,298.26666666666665,271.1613565201378,614,549,39,0.0,9.5,125.75,153.25,535.0,572.0,18.266666666666666,1,40,1918,200,9.047619047619047,6.038095238095238,8
lc109.txt,5.184965445773086,12.206555615733702,0,5.385164807134504,40,50,107,10,274.75192195114806,78,5302.5,360.0,0.0,1130,770,370,39.75,297.0,493.5,399.75,657.0,853.5,18.30188679245283,10,50,970,200,79.81132075471699,23.32075471698113,10
lrc208.txt,29.244323854521078,67.1863081289633,0,26.832815729997478,40,50,103,12,295.5024699848034,84,6264.0,470.6764705882353,72.96442347764837,942,448,498,46.75,208.0,388.0,555.25,627.0,834.75,17.823529411764707,2,40,909,1000,9.607843137254902,18.823529411764707,10
LC1_2_2.txt,9.889266281589041,48.33218389437829,0,6.0,70,70,211,16,506.858134452576,151,16660.0,350.0,498.1201805646046,1247,1130,62,3.75,312.5,614.75,377.25,677.5,1166.75,18.285714285714285,10,40,1920,200,81.42857142857143,12.866666666666667,18
bar-n200-1.txt,13.621890547263682,25,158,13.0,2.1496032,41.3851875,201,11,0.5542940519281497,0,0.01881759289394451,82.705,60.881671913639174,240,183,32,24.5,67.0,120.0,106.75,148.5,209.0,34.32,10,60,3432,100,15.0,2.4,2
LC2_4_8.txt,23.227490931660036,87.00574693662483,0,18.24828759089466,100,100,407,13,634.6400180905226,305,29114.0,640.0,0.0,3589,2949,649,506.0,1324.0,2144.5,1146.0,1964.0,2784.5,19.16256157635468,10,40,3890,700,87.33990147783251,18.192118226600986,6
